player_id,position,league,tier,games,winrate,操作,意识,心态,团队,体质,总评,box_综合,impact,final_z,teams
Chovy,mid,LCK,1,104,0.76,86.7,86.0,82.5,65.4,76.5,81.2,71.5,81.0,2.999,Gen.G
Ruler,bot,LCK,1,107,0.757,83.2,81.6,85.1,72.0,82.4,81.2,68.6,81.2,2.921,Gen.G
Knight,mid,LPL,1,128,0.633,85.8,79.5,79.7,74.2,82.3,80.9,70.9,80.2,2.589,Top Esports
Oner,jng,LCK,1,144,0.743,88.6,70.8,82.6,75.1,88.6,80.9,63.8,81.2,2.586,T1
Keria,sup,LCK,1,144,0.743,92.7,70.5,78.6,71.1,89.3,80.8,63.3,81.2,2.548,T1
Zeus,top,LCK,1,144,0.743,93.0,70.2,75.2,74.4,89.1,80.8,62.7,81.2,2.503,T1
Xiaohu,mid,LPL,1,156,0.667,87.2,80.5,64.0,76.9,89.5,80.4,63.1,80.8,2.24,Royal Never Give Up
Peanut,jng,LCK,1,107,0.757,77.6,77.3,87.9,76.7,88.7,80.4,60.7,81.1,2.246,Gen.G
Gumayusi,bot,LCK,1,144,0.743,82.9,75.0,82.2,74.1,92.0,80.4,59.8,81.2,2.283,T1
JackeyLove,bot,LPL,1,128,0.633,89.6,74.8,74.9,72.6,86.2,80.3,66.1,80.2,2.226,Top Esports
GALA,bot,LPL,1,156,0.667,90.6,70.5,75.5,72.4,92.4,80.3,62.6,80.8,2.202,Royal Never Give Up
Kellin,sup,LCK,1,112,0.625,79.5,80.9,80.8,79.5,80.1,80.1,68.0,78.9,2.11,Dplus Kia
369,top,LPL,1,121,0.669,91.3,72.5,68.3,80.5,84.0,80.1,65.1,80.1,2.142,JD Gaming
Wei,jng,LPL,1,162,0.66,86.9,79.2,66.8,72.6,92.1,80.0,60.8,80.8,2.072,Royal Never Give Up
Kanavi,jng,LPL,1,121,0.669,92.7,81.7,60.4,68.0,85.2,79.8,63.4,80.1,2.013,JD Gaming
Doran,top,LCK,1,108,0.75,84.8,72.1,79.4,76.7,89.1,79.8,57.7,81.1,2.004,Gen.G
Ming,sup,LPL,1,156,0.667,88.7,74.7,67.7,72.8,93.3,79.7,59.5,80.8,1.968,Royal Never Give Up
Lehends,sup,LCK,1,107,0.757,84.7,70.0,79.9,76.7,89.8,79.5,56.3,81.1,1.92,Gen.G
MISSING,sup,LPL,1,121,0.669,79.5,75.4,81.1,77.0,86.9,79.2,60.9,80.1,1.824,JD Gaming
Mark,sup,LPL,1,115,0.661,71.9,86.0,78.2,76.4,87.0,79.1,60.7,80.1,1.812,Top Esports
Faker,mid,LCK,1,144,0.743,80.2,71.1,85.2,72.3,94.9,79.1,53.5,81.2,1.807,T1
Photic,bot,LPL,1,102,0.657,76.3,85.7,76.0,72.5,80.9,78.6,62.4,78.9,1.689,Victory Five
Viper,bot,LPL,1,119,0.605,71.2,86.2,72.8,79.9,84.0,78.3,64.3,77.2,1.639,EDward Gaming
Canyon,jng,LCK,1,117,0.607,83.8,68.3,84.4,72.6,82.9,78.0,63.0,77.6,1.581,Dplus Kia
Inspired,jng,LCS,1,123,0.61,78.6,73.8,78.8,77.3,85.3,78.0,62.8,77.7,1.568,Evil Geniuses
Targamas,sup,LEC,1,89,0.629,81.6,82.4,74.6,71.3,71.8,77.9,63.6,76.9,1.554,G2 Esports
ShowMaker,mid,LCK,1,117,0.607,73.1,80.9,81.7,71.3,87.4,77.9,62.6,77.6,1.551,Dplus Kia
Santorin,jng,LCS,1,81,0.642,70.8,80.7,81.0,83.0,75.3,77.5,63.1,76.6,1.492,Team Liquid
Larssen,mid,LEC,1,73,0.603,87.7,66.5,80.5,74.2,71.3,76.9,64.9,73.1,1.395,Rogue
Yagao,mid,LPL,1,135,0.674,60.3,86.2,73.2,82.6,94.5,76.8,52.8,80.7,1.393,Bilibili Gaming|JD Gaming
Scout,mid,LPL,1,119,0.605,77.3,74.0,77.9,73.9,82.5,76.6,60.6,77.2,1.359,EDward Gaming
deokdam,bot,LCK,1,117,0.607,77.3,66.8,86.0,76.0,84.1,76.6,60.1,77.6,1.362,Dplus Kia
Rich,top,LPL,1,96,0.667,76.7,79.5,76.7,65.2,84.0,76.4,57.4,79.0,1.331,Victory Five
BrokenBlade,top,LEC,1,89,0.629,73.3,74.4,84.1,78.5,74.4,76.3,60.5,76.9,1.319,G2 Esports
Bjergsen,mid,LCS,1,85,0.624,75.5,70.8,79.9,80.0,78.8,76.1,62.3,74.7,1.292,Team Liquid|Team Liquid Academy
Jiejie,jng,LPL,1,102,0.578,73.2,78.0,80.4,74.6,73.7,75.9,64.6,71.0,1.267,EDward Gaming
Upset,bot,LEC,1,76,0.579,81.6,73.1,76.6,74.5,68.2,75.8,64.7,70.8,1.265,Fnatic
Danny,bot,LCS,1,102,0.627,83.4,67.1,78.5,71.9,76.2,75.7,59.3,77.1,1.251,Evil Geniuses
Bin,top,LPL,1,140,0.621,85.9,62.9,83.1,61.5,87.2,75.7,58.2,78.0,1.254,Bilibili Gaming|Royal Never Give Up
Hans Sama,bot,LCS,1,79,0.646,86.2,65.0,75.6,74.1,74.1,75.6,59.6,76.7,1.236,Team Liquid
Hope,bot,LPL,1,120,0.683,64.1,77.6,79.3,80.2,88.7,75.6,52.9,80.2,1.237,JD Gaming|Team WE
Trymbi,sup,LEC,1,73,0.603,81.3,75.4,75.6,73.4,62.6,75.4,62.6,73.1,1.221,Rogue
Vulcan,sup,LCS,1,123,0.61,69.1,72.7,78.2,78.8,87.5,75.2,57.9,77.7,1.198,Evil Geniuses
Prince,bot,LCK,1,58,0.586,84.2,80.6,58.4,72.7,66.2,75.1,65.4,67.5,1.183,Liiv SANDBOX
Impact,top,LCS,1,123,0.61,77.1,66.7,76.0,75.7,84.7,74.9,57.4,77.7,1.16,Evil Geniuses
Tian,jng,LPL,1,117,0.65,64.8,75.4,86.1,73.2,86.9,74.9,53.7,79.6,1.158,Top Esports
Ssumday,top,LCS,1,75,0.573,66.4,83.1,79.1,76.4,69.6,74.8,63.2,70.8,1.154,100 Thieves
Rookie,mid,LPL,1,85,0.635,73.5,78.4,72.0,72.5,75.4,74.6,60.1,74.8,1.129,Victory Five
Wayward,top,LPL,1,112,0.661,68.1,69.7,84.4,72.6,87.4,74.1,51.9,79.9,1.081,Top Esports
Elyoya,jng,LEC,1,57,0.509,80.5,77.8,73.0,70.6,54.3,73.8,67.8,57.8,1.055,MAD Lions KOI
Summit,top,LPL,1,60,0.567,88.2,72.5,63.4,62.1,69.5,73.7,63.8,67.1,1.047,Cloud9|FunPlus Phoenix
Bwipo,top,LCS,1,80,0.637,88.6,61.1,71.4,65.4,77.9,73.7,57.8,76.0,1.044,Team Liquid
Deft,bot,LCK,1,130,0.554,72.9,70.6,75.4,72.2,81.2,73.6,61.3,71.5,1.039,Kiwoom DRX
BeryL,sup,LCK,1,130,0.546,82.6,66.1,73.0,62.3,82.2,73.5,62.4,69.5,1.034,Kiwoom DRX
Jankos,jng,LEC,1,89,0.629,73.2,72.4,81.1,67.6,74.0,73.5,56.7,76.9,1.032,G2 Esports
Meiko,sup,LPL,1,119,0.605,70.5,68.2,81.2,69.2,85.5,73.2,55.9,77.2,1.004,EDward Gaming
huhi,sup,LCS,1,76,0.566,84.4,70.9,64.1,70.4,65.2,73.1,61.9,69.5,0.996,100 Thieves
Comp,bot,LEC,1,73,0.603,76.8,72.7,74.5,69.3,67.4,73.1,59.6,73.1,0.994,Rogue
Zeka,mid,LCK,1,130,0.546,76.4,67.7,74.3,66.2,83.1,73.0,61.8,69.5,0.989,Kiwoom DRX
ppgod,sup,LPL,1,99,0.667,70.2,63.9,86.6,68.0,88.4,73.0,52.7,79.1,0.99,Victory Five
Breathe,top,LPL,1,134,0.59,70.9,74.1,72.4,66.4,85.1,72.9,56.9,76.1,0.978,Bilibili Gaming|Royal Never Give Up
Odoamne,top,LEC,1,73,0.603,75.4,71.0,69.6,77.1,68.6,72.8,59.3,73.1,0.971,Rogue
Nuguri,top,LCK,1,57,0.614,79.7,69.5,77.4,65.6,63.0,72.4,60.3,70.9,0.938,Dplus Kia
Angel,mid,LPL,1,93,0.559,62.6,80.9,70.8,68.6,73.7,71.0,60.2,68.6,0.832,Weibo Gaming
Zven,sup,LCS,1,38,0.632,75.3,73.6,63.2,75.7,57.9,70.9,59.7,69.4,0.827,Cloud9
Light,bot,LPL,1,113,0.531,67.6,77.2,67.7,68.7,71.9,70.8,61.1,66.4,0.821,LNG Esports
VicLa,mid,LCK,1,84,0.571,79.1,62.2,71.9,68.4,70.3,70.8,58.0,72.1,0.82,KT Rolster|KT Rolster Challengers
Aiming,bot,LCK,1,98,0.49,72.5,71.1,69.7,62.4,76.2,70.5,65.1,56.1,0.801,KT Rolster
Razork,jng,LEC,1,76,0.579,78.9,66.9,64.8,68.0,67.4,70.4,58.5,70.8,0.796,Fnatic
XLB,jng,LPL,1,26,0.731,73.4,78.0,68.5,64.4,55.4,70.2,58.9,69.7,0.779,Victory Five
Jojopyun,mid,LCS,1,123,0.61,73.8,58.1,77.8,68.0,80.2,70.2,52.4,77.7,0.782,Evil Geniuses
Kingen,top,LCK,1,130,0.546,62.1,71.5,70.0,73.7,80.1,69.8,58.7,69.5,0.755,Kiwoom DRX
Blaber,jng,LCS,1,78,0.577,82.8,62.4,61.6,68.4,65.2,69.7,58.3,70.0,0.746,Cloud9
Caps,mid,LEC,1,89,0.629,77.3,62.6,68.5,67.9,67.4,69.4,52.7,76.9,0.729,G2 Esports
Jensen,mid,LCS,1,41,0.585,70.7,63.4,77.2,72.7,58.9,68.7,59.6,65.8,0.684,Cloud9
CoreJJ,sup,LCS,1,64,0.594,56.6,78.4,66.4,78.3,65.5,68.4,58.3,67.9,0.662,Team Liquid
Berserker,bot,LCS,1,65,0.615,71.0,57.8,73.3,70.1,73.2,68.1,54.5,73.8,0.646,Cloud9
Flandre,top,LPL,1,107,0.598,60.5,67.9,66.6,70.7,82.6,67.7,53.6,74.6,0.624,EDward Gaming
ON,sup,LPL,1,100,0.58,72.4,73.3,57.9,49.9,74.3,66.9,55.2,71.4,0.576,Bilibili Gaming|Weibo Gaming
Malrang,jng,LEC,1,73,0.603,52.0,73.5,76.8,75.7,64.2,66.8,54.0,73.1,0.57,Rogue
huanfeng,bot,LPL,1,111,0.577,60.2,68.8,67.7,62.2,80.0,66.3,52.7,74.3,0.542,ThunderTalk Gaming|Weibo Gaming
Humanoid,mid,LEC,1,76,0.579,84.9,56.0,60.4,53.7,65.9,66.2,55.1,70.8,0.539,Fnatic
Flakked,bot,LEC,1,89,0.629,58.2,69.7,70.1,70.4,68.0,66.2,50.2,76.9,0.54,G2 Esports
Rascal,top,LCK,1,98,0.49,60.3,67.1,69.1,64.6,72.0,65.6,61.2,56.1,0.506,KT Rolster
Beichuan,jng,LPL,1,96,0.542,66.2,69.5,63.4,58.0,67.2,65.4,56.1,67.9,0.494,FunPlus Phoenix|FunPlus Phoenix Blaze|ThunderTalk Gaming
Fudge,mid,LCS,1,37,0.568,59.5,66.7,67.7,73.5,60.1,65.0,54.7,70.0,0.473,Cloud9
SofM,jng,LPL,1,93,0.559,57.9,70.5,73.3,55.6,71.7,64.9,55.4,68.6,0.469,Weibo Gaming
FoFo,mid,LPL,1,67,0.522,62.2,65.2,70.9,63.1,59.7,64.2,58.1,61.6,0.435,Bilibili Gaming
Doinb,mid,LPL,1,113,0.531,62.3,69.3,59.2,62.6,66.7,64.2,56.0,66.4,0.435,LNG Esports
Alphari,top,LEC,1,45,0.467,69.1,65.8,66.9,59.4,49.3,64.0,62.2,50.7,0.424,Team Vitality
Closer,jng,LCS,1,76,0.566,60.7,56.8,75.2,70.3,64.5,64.0,54.3,69.5,0.421,100 Thieves
Cuzz,jng,LCK,1,95,0.495,61.7,66.1,63.1,62.5,64.0,63.5,59.4,57.0,0.397,KT Rolster
Pyosik,jng,LCK,1,118,0.534,56.9,68.3,56.1,65.6,75.1,63.3,56.4,64.2,0.389,Kiwoom DRX
Neo,bot,LCS,1,61,0.475,55.1,71.1,64.1,59.6,66.7,62.8,58.9,57.1,0.361,Dignitas|Dignitas Academy
Tarzan,jng,LPL,1,113,0.531,58.2,66.4,56.4,64.1,71.9,62.6,54.9,66.4,0.352,LNG Esports
Armut,top,LEC,1,57,0.509,65.9,66.4,54.6,61.9,53.4,62.1,58.2,57.8,0.329,MAD Lions KOI
Hylissang,sup,LEC,1,74,0.568,65.4,60.9,61.5,60.5,58.4,62.0,53.8,68.0,0.325,Fnatic
Wunder,top,LEC,1,76,0.579,59.6,56.9,66.0,64.1,66.9,61.5,51.9,70.8,0.297,Fnatic
FBI,bot,LCS,1,76,0.566,53.2,65.3,57.2,74.5,59.4,61.2,52.5,69.5,0.285,100 Thieves
Kaiser,sup,LEC,1,57,0.509,57.0,65.1,60.1,71.0,50.4,61.0,57.5,57.8,0.276,MAD Lions KOI
HOYA,top,LPL,1,55,0.527,47.7,67.5,71.0,64.8,62.0,61.0,56.9,59.4,0.277,Dplus Kia|ThunderTalk Gaming
Luger,bot,LCS,1,63,0.492,60.9,60.9,62.5,62.4,56.9,60.9,58.6,54.7,0.27,CLG Academy|Counter Logic Gaming
Poome,sup,LCS,1,57,0.474,58.5,58.2,68.4,65.2,49.9,60.0,59.6,50.7,0.227,Counter Logic Gaming
JNX,top,LEC,1,36,0.389,56.9,67.6,64.1,56.9,45.5,59.5,62.2,43.8,0.204,SK Gaming
Karsa,jng,LPL,1,76,0.632,58.1,62.2,56.4,56.6,59.9,58.9,48.8,73.2,0.179,Victory Five
Selfmade,jng,LEC,1,26,0.462,76.5,42.7,71.3,44.2,50.0,58.5,58.0,52.5,0.159,Team Vitality
Life,sup,LCK,1,98,0.49,50.3,61.3,57.3,61.5,70.4,58.5,56.6,56.1,0.158,KT Rolster
Croco,jng,LCK,1,95,0.474,52.0,60.5,51.5,63.2,71.3,58.3,57.1,54.6,0.152,Liiv SANDBOX
TheShy,top,LPL,1,93,0.559,74.3,45.9,49.7,50.5,66.8,58.3,51.2,68.6,0.152,Weibo Gaming
Abbedagge,mid,LCS,1,76,0.566,64.3,55.6,47.3,56.8,63.2,58.0,50.5,69.5,0.134,100 Thieves
Xerxe,jng,LCS,1,39,0.308,61.5,55.0,51.4,54.9,61.8,57.2,62.3,40.9,0.101,Astralis|Immortals
Chieftain,jng,LPL,1,46,0.522,68.1,44.0,52.3,49.3,71.3,56.7,55.4,56.5,0.078,NASR eSports Turkey|ThunderTalk Gaming
Perkz,mid,LEC,1,45,0.467,63.1,51.9,66.8,46.6,49.8,56.5,57.5,50.7,0.069,Team Vitality
Crisp,sup,LPL,1,98,0.5,49.5,60.5,56.6,56.3,62.9,56.2,55.3,55.9,0.054,Bilibili Gaming
LvMao,sup,LPL,1,84,0.524,51.7,50.1,67.4,56.4,65.4,56.2,52.6,62.7,0.053,LNG Esports
Markoon,jng,LEC,1,47,0.489,56.4,53.5,54.6,62.6,52.3,55.9,55.9,53.8,0.038,Excel Esports
Hoit,sup,LCK,1,74,0.419,58.1,56.9,57.4,48.9,54.9,55.8,58.4,47.4,0.036,DN SOOPers
Vetheo,mid,LEC,1,51,0.49,56.0,66.7,38.8,58.3,48.2,55.5,54.7,56.4,0.022,Misfits Gaming
Nisqy,mid,LEC,1,39,0.538,60.1,46.6,56.7,63.9,48.9,55.3,52.4,62.0,0.016,MAD Lions KOI
Weiwei,jng,LPL,1,84,0.512,51.7,58.2,56.6,49.7,56.6,54.4,52.4,60.7,-0.026,Bilibili Gaming
Care,mid,LPL,1,68,0.471,43.0,67.4,54.9,54.9,50.5,54.1,55.7,51.6,-0.039,FunPlus Phoenix
Burdol,top,LCK,1,51,0.627,53.4,50.4,57.8,54.8,57.3,54.0,48.2,69.4,-0.043,Dplus Kia
Labrov,sup,LEC,1,45,0.467,63.4,45.5,53.2,55.7,45.3,53.7,55.8,50.7,-0.06,Team Vitality
Mikyx,sup,LEC,1,42,0.5,41.4,64.8,59.0,56.8,48.8,53.6,53.8,55.7,-0.064,Excel Esports
Nukeduck,mid,LEC,1,47,0.489,55.2,48.0,59.5,50.1,56.3,53.3,54.4,53.8,-0.075,Excel Esports
JunJia,jng,LPL,1,25,0.68,52.0,55.5,53.5,57.9,43.4,53.1,51.1,62.0,-0.084,EDward Gaming
shanji,top,LPL,1,92,0.478,51.0,54.2,41.2,59.7,61.2,52.9,55.8,49.6,-0.094,Oh My God
Solo,top,LCS,1,27,0.444,48.7,45.0,63.3,57.9,59.7,52.9,53.7,55.0,-0.093,TSM|TSM Academy
Canna,top,LCK,1,83,0.361,60.0,50.6,49.0,50.6,46.8,52.7,61.1,38.2,-0.105,Nongshim RedForce
Ale,top,LPL,1,101,0.535,53.6,49.2,56.7,47.0,58.1,52.4,48.2,67.5,-0.116,LNG Esports
Treatz,sup,LEC,1,36,0.389,53.6,43.1,63.5,56.7,47.2,52.2,57.8,43.8,-0.129,SK Gaming
Finn,top,LEC,1,47,0.489,45.0,63.6,48.2,54.9,47.5,52.2,53.7,53.8,-0.128,Excel Esports
Patrik,bot,LEC,1,47,0.489,61.3,47.9,42.1,55.4,47.9,52.2,53.7,53.8,-0.128,Excel Esports
Clid,jng,LPL,1,83,0.458,45.2,63.9,41.8,55.7,52.6,52.1,54.8,50.8,-0.133,FunPlus Phoenix
Neon,bot,LEC,1,51,0.49,55.1,48.4,41.1,59.0,57.2,52.0,52.6,56.4,-0.136,Misfits Gaming
Xiaoxiang,top,LPL,1,33,0.515,50.5,51.0,68.7,46.8,40.6,51.8,54.5,51.1,-0.145,EDward Gaming|ThunderTalk Gaming
Olleh,sup,LCS,1,43,0.372,47.7,52.3,64.6,51.1,44.1,51.7,58.8,41.2,-0.151,Golden Guardians
Irrelevant,top,LEC,1,51,0.471,55.3,47.5,35.0,62.3,55.0,51.1,52.5,55.2,-0.177,Misfits Gaming|Misfits Premier
FATE,mid,LCK,1,92,0.391,41.3,58.4,56.4,54.2,48.1,51.0,59.8,38.7,-0.181,DN SOOPers
Mole,mid,LPL,1,28,0.429,50.2,50.5,47.1,59.7,47.4,51.0,54.9,48.9,-0.183,Invictus Gaming
xiye,mid,LPL,1,25,0.4,44.7,59.3,49.6,54.3,40.7,50.3,54.2,49.6,-0.213,Team WE
Kobbe,bot,LEC,1,36,0.278,54.2,41.3,63.2,47.2,45.3,50.1,59.1,39.0,-0.223,Astralis
Clozer,mid,LCK,1,94,0.479,51.4,42.3,43.2,50.5,72.0,50.0,52.1,54.6,-0.226,Liiv SANDBOX
Kiin,top,LCK,1,92,0.391,51.2,59.2,40.5,49.1,40.1,49.9,59.1,38.7,-0.234,DN SOOPers
