player_id,position,league,tier,games,winrate,操作,意识,心态,团队,体质,总评,box_综合,impact,final_z,teams
Chovy,mid,LCK,1,104,0.76,86.7,86.0,82.5,65.4,76.5,81.2,71.5,81.0,2.999,Gen.G
Ruler,bot,LCK,1,107,0.757,83.2,81.6,85.1,72.0,82.4,81.2,68.6,81.2,2.921,Gen.G
Eyla,sup,LCSA,2,108,0.75,77.3,83.7,80.8,77.2,90.3,81.1,66.8,81.2,2.746,Team Liquid|Team Liquid Academy
Knight,mid,LPL,1,128,0.633,85.8,79.5,79.7,74.2,82.3,80.9,70.9,80.2,2.589,Top Esports
Oner,jng,LCK,1,144,0.743,88.6,70.8,82.6,75.1,88.6,80.9,63.8,81.2,2.586,T1
Szygenda,top,LFL,2,108,0.694,89.2,81.8,73.0,68.1,85.4,80.8,69.4,80.2,2.49,Vitality.Bee
Keria,sup,LCK,1,144,0.743,92.7,70.5,78.6,71.1,89.3,80.8,63.3,81.2,2.548,T1
Zeus,top,LCK,1,144,0.743,93.0,70.2,75.2,74.4,89.1,80.8,62.7,81.2,2.503,T1
Ruby,mid,PRM,3,86,0.709,85.6,85.2,71.0,68.6,88.2,80.7,68.9,80.0,2.405,Unicorns of Love Sexy Edition
Emp,mid,LHE,2,59,0.814,90.0,74.2,86.9,69.8,77.2,80.6,68.7,79.9,2.35,Furious Gaming
Yike,jng,LFL,2,101,0.733,86.3,75.5,77.6,74.8,88.4,80.5,63.8,80.8,2.29,LDLC OL
Bie,sup,VCS,15,78,0.769,83.3,80.2,86.2,67.9,82.9,80.4,66.6,80.2,2.268,GAM Esports
Eika,mid,LFL,2,101,0.733,82.2,81.5,77.5,71.9,88.8,80.4,63.7,80.8,2.282,LDLC OL
Xiaohu,mid,LPL,1,156,0.667,87.2,80.5,64.0,76.9,89.5,80.4,63.1,80.8,2.24,Royal Never Give Up
Peanut,jng,LCK,1,107,0.757,77.6,77.3,87.9,76.7,88.7,80.4,60.7,81.1,2.246,Gen.G
Gumayusi,bot,LCK,1,144,0.743,82.9,75.0,82.2,74.1,92.0,80.4,59.8,81.2,2.283,T1
Juliera,bot,CBLOLA,3,50,0.82,77.5,87.4,76.8,76.7,81.3,80.3,69.4,78.9,2.215,paiN Gaming Academy
JackeyLove,bot,LPL,1,128,0.633,89.6,74.8,74.9,72.6,86.2,80.3,66.1,80.2,2.226,Top Esports
Skeanz,jng,LFL,2,109,0.688,81.7,76.3,78.4,79.1,89.1,80.3,66.0,80.2,2.22,Vitality.Bee
GALA,bot,LPL,1,156,0.667,90.6,70.5,75.5,72.4,92.4,80.3,62.6,80.8,2.202,Royal Never Give Up
3XA,bot,LFL,2,101,0.733,85.3,75.1,88.0,65.1,89.1,80.3,62.6,80.8,2.199,LDLC OL
Ragner,top,LFL,2,101,0.733,79.4,76.6,77.3,83.0,90.8,80.3,62.5,80.8,2.191,LDLC OL
Raes,bot,LCO,15,64,0.797,87.8,74.8,79.4,73.6,83.0,80.2,67.3,79.6,2.187,Chiefs Esports Club
Haeri,mid,LCSA,2,109,0.716,86.5,75.2,80.1,69.5,89.9,80.2,64.4,80.4,2.175,Team Liquid Academy
Kellin,sup,LCK,1,112,0.625,79.5,80.9,80.8,79.5,80.1,80.1,68.0,78.9,2.11,Dplus Kia
Levi,jng,VCS,15,87,0.747,88.7,76.4,75.8,70.1,85.2,80.1,65.3,80.0,2.124,GAM Esports
369,top,LPL,1,121,0.669,91.3,72.5,68.3,80.5,84.0,80.1,65.1,80.1,2.142,JD Gaming
Nothing,bot,LMF,2,66,0.758,70.6,85.5,88.6,80.1,81.1,80.1,64.7,80.1,2.113,Leviatan
pinz,mid,LDL,2,79,0.722,70.8,90.2,87.5,70.7,83.3,80.0,66.4,79.5,2.097,Bilibili Gaming Junior|FunPlus Phoenix Blaze
Wei,jng,LPL,1,162,0.66,86.9,79.2,66.8,72.6,92.1,80.0,60.8,80.8,2.072,Royal Never Give Up
Enga,mid,LMF,2,57,0.772,81.1,79.5,86.3,72.2,79.3,79.9,67.5,78.8,2.062,Pampas
Kindless,bot,LMF,2,69,0.754,80.3,81.2,78.6,77.9,80.3,79.9,65.1,79.8,2.051,Estral Esports|Pampas
Yeon,bot,LCSA,2,115,0.696,88.0,70.5,78.9,73.6,89.4,79.9,64.8,79.9,2.057,Team Liquid|Team Liquid Academy
Feitan,sup,LHE,2,59,0.814,85.1,79.1,82.5,66.6,83.1,79.9,64.6,79.9,2.04,Furious Gaming
Viciun,bot,LHE,2,59,0.814,82.7,70.5,93.9,75.1,81.0,79.9,64.5,79.9,2.033,Furious Gaming
iBo,top,EUM,2,104,0.663,83.4,81.5,71.4,73.9,86.7,79.9,64.0,80.0,2.033,Team Heretics|Unicorns of Love Sexy Edition
Kiaya,top,VCS,15,89,0.753,85.0,71.0,84.0,75.5,87.2,79.9,62.8,80.4,2.04,GAM Esports
SkyBart,top,CBLOLA,3,55,0.764,85.8,82.4,72.9,71.3,79.3,79.8,69.2,77.1,1.999,paiN Gaming Academy
Kanavi,jng,LPL,1,121,0.669,92.7,81.7,60.4,68.0,85.2,79.8,63.4,80.1,2.013,JD Gaming
Yutapon,bot,LJL,15,75,0.76,87.9,70.9,84.3,69.6,86.3,79.8,62.9,80.3,2.017,DetonatioN FocusMe
Harp,sup,LJL,15,77,0.753,89.2,77.8,72.0,69.0,85.6,79.8,62.7,80.3,2.002,DetonatioN FocusMe
Doran,top,LCK,1,108,0.75,84.8,72.1,79.4,76.7,89.1,79.8,57.7,81.1,2.004,Gen.G
Tempt,mid,NLC,2,78,0.679,85.9,76.1,79.9,71.8,82.6,79.7,66.3,78.9,1.993,X7 Esports
Mataz,jng,DDH,3,71,0.746,83.1,74.3,77.8,76.8,88.9,79.7,63.9,79.8,1.967,The Kings
Ming,sup,LPL,1,156,0.667,88.7,74.7,67.7,72.8,93.3,79.7,59.5,80.8,1.968,Royal Never Give Up
Topoon,top,LCO,15,64,0.797,86.7,72.7,86.0,67.7,83.9,79.6,64.0,79.6,1.938,Chiefs Esports Club
Steal,jng,LJL,15,77,0.753,79.1,80.8,79.9,72.6,87.5,79.6,62.0,80.3,1.949,DetonatioN FocusMe
Evi,top,LJL,15,75,0.76,89.0,70.2,84.3,70.0,83.2,79.6,61.9,80.3,1.956,DetonatioN FocusMe
Jun,sup,LCKC,2,54,0.704,83.5,87.5,74.9,71.4,69.1,79.5,69.1,76.3,1.918,Kiwoom DRX|Kiwoom DRX Challengers
Lyonz,sup,LMF,2,59,0.695,87.7,74.9,76.3,73.9,80.7,79.5,66.5,78.2,1.91,Leviatan|River Plate Gaming
Crownie,bot,LFL,2,93,0.624,79.3,79.2,82.4,71.6,87.4,79.5,64.7,79.1,1.905,Team BDS Academy
Lehends,sup,LCK,1,107,0.757,84.7,70.0,79.9,76.7,89.8,79.5,56.3,81.1,1.92,Gen.G
Putin,top,EL,3,40,0.9,87.0,80.6,72.0,71.3,79.0,79.4,67.5,77.2,1.873,Saprissa Esports
Xpontaneous,bot,VL,3,47,0.851,84.0,78.3,80.3,72.5,77.4,79.3,65.7,78.4,1.87,Descuydado Aucas Esports
Mir,jng,LCO,15,64,0.797,89.6,67.3,82.7,71.3,85.7,79.3,63.1,79.6,1.869,Chiefs Esports Club
Bradley,top,LCSA,2,114,0.702,86.4,69.8,80.2,70.5,92.5,79.3,61.4,80.1,1.855,Team Liquid|Team Liquid Academy
MISSING,sup,LPL,1,121,0.669,79.5,75.4,81.1,77.0,86.9,79.2,60.9,80.1,1.824,JD Gaming
Monki,jng,LDL,2,107,0.72,71.0,89.3,75.3,72.8,91.6,79.2,60.5,80.3,1.826,EDG Youth Team
Kati,mid,VCS,15,89,0.753,84.0,68.5,84.1,73.4,91.8,79.2,60.2,80.4,1.844,GAM Esports
Cabochard,top,LFL,2,77,0.61,90.0,74.1,76.3,70.8,77.2,79.1,66.3,77.3,1.797,Karmine Corp
Sinmivak,top,UL,2,78,0.705,85.4,75.3,78.7,72.7,80.2,79.1,63.8,78.9,1.794,AGO ROGUE
Mark,sup,LPL,1,115,0.661,71.9,86.0,78.2,76.4,87.0,79.1,60.7,80.1,1.812,Top Esports
Faker,mid,LCK,1,144,0.743,80.2,71.1,85.2,72.3,94.9,79.1,53.5,81.2,1.807,T1
JuanDeDios,top,SL (LATAM),3,58,0.69,85.6,78.1,79.6,66.1,80.7,79.0,70.9,72.0,1.79,Diamond Doves|Incubus
Daglas,jng,GLL,3,56,0.625,89.5,74.8,78.1,68.7,76.9,79.0,68.0,75.7,1.786,Anorthosis Famagusta Esports
SAKEN,mid,LFL,2,84,0.607,83.1,82.7,71.4,74.1,77.4,79.0,65.6,77.7,1.781,Karmine Corp
Limitationss,bot,DDH,3,58,0.741,77.4,80.6,85.4,67.8,85.8,79.0,64.4,78.4,1.771,The Kings
Zelt,mid,GL,3,49,0.837,90.2,76.5,69.5,70.2,81.1,79.0,62.6,79.3,1.772,Braves Rising|Zeu5 Bogota
Yaharong,mid,LJL,15,77,0.753,88.0,64.2,91.2,66.7,88.4,79.0,59.7,80.3,1.775,DetonatioN FocusMe
Destroy,top,DDH,3,37,0.865,88.6,81.9,76.3,60.8,75.4,78.8,64.0,78.4,1.741,The Kings
NerzhuL,sup,DDH,3,63,0.762,75.6,76.6,81.7,75.7,91.5,78.8,61.7,79.5,1.736,Six Karma|The Kings
Sty1e,bot,VCS,15,88,0.761,79.7,74.0,79.1,73.8,93.5,78.8,58.1,80.5,1.738,GAM Esports
Jactroll,sup,LFL,2,110,0.691,83.8,75.5,73.4,71.3,89.9,78.7,59.3,80.2,1.713,Vitality.Bee
Doss,sup,LFL,2,101,0.733,71.8,77.5,80.5,79.9,94.8,78.7,56.2,80.8,1.715,LDLC OL
Madblade,sup,EL,3,42,0.905,74.0,83.4,84.5,74.7,77.3,78.6,65.1,77.2,1.691,Saprissa Esports
Lyncas,jng,NLC,2,78,0.705,86.6,70.0,78.1,74.6,83.3,78.6,64.3,77.7,1.69,Dusty|MOUZ NXT
Photic,bot,LPL,1,102,0.657,76.3,85.7,76.0,72.5,80.9,78.6,62.4,78.9,1.689,Victory Five
Sheo,jng,LFL,2,95,0.621,72.4,84.4,74.0,78.2,88.3,78.6,61.9,79.2,1.696,Team BDS Academy
Rekkles,bot,LFL,2,75,0.613,83.0,83.2,73.2,69.3,76.4,78.5,67.4,74.7,1.676,Karmine Corp
Rainbow,mid,DDH,3,37,0.865,80.0,82.9,74.0,76.2,74.5,78.5,63.1,78.4,1.673,The Kings
Kartis,top,LDL,2,124,0.637,70.8,82.5,83.0,71.5,91.9,78.5,62.8,78.5,1.671,FunPlus Phoenix Blaze
Leave,bot,LDL,2,118,0.695,77.9,83.2,75.9,64.5,91.8,78.5,61.3,79.3,1.674,EDG Youth Team|EDward Gaming
Diplex,mid,LFL,2,109,0.688,76.9,73.5,80.4,76.5,93.4,78.5,58.6,80.2,1.66,Vitality.Bee
QQMore,sup,LMF,2,38,0.737,92.7,73.5,73.1,68.5,73.2,78.4,62.6,78.4,1.644,Pampas
Sniper,top,PGC,2,77,0.766,93.7,69.6,73.1,65.0,84.1,78.4,60.4,79.5,1.65,100 Thieves Next
Roison,mid,LFL2,2,64,0.719,85.8,70.9,80.5,75.3,76.7,78.3,65.9,75.7,1.632,IziDream
Kaiwing,sup,PCS,15,87,0.644,77.0,82.7,67.8,81.6,81.5,78.3,65.3,76.4,1.637,PSG Talon
Viper,bot,LPL,1,119,0.605,71.2,86.2,72.8,79.9,84.0,78.3,64.3,77.2,1.639,EDward Gaming
Xiamu,sup,LDL,2,116,0.707,73.8,82.5,75.2,71.8,93.2,78.3,59.6,79.7,1.631,EDG Youth Team|EDward Gaming
Piqueos,mid,DDH,3,57,0.719,77.4,75.7,82.0,74.7,85.6,78.2,64.6,76.7,1.614,Incubus|Six Karma
can,jng,LDL,2,74,0.73,69.0,84.8,88.3,71.1,82.2,78.1,59.3,79.7,1.593,Bilibili Gaming|Bilibili Gaming Junior
Jeskla,bot,LFL,2,109,0.688,87.2,65.0,77.7,73.5,90.8,78.1,57.7,80.2,1.592,Vitality.Bee
TopLop,mid,LMF,2,66,0.758,76.4,76.7,77.7,76.9,87.6,78.1,57.7,80.1,1.584,Leviatan
Bafang,sup,LDL,2,93,0.624,74.2,87.6,76.3,66.8,84.0,78.0,64.5,76.3,1.569,Joy Dream|Team Pinnacle
Unified,bot,PCS,15,87,0.644,79.9,85.5,63.0,73.8,83.0,78.0,64.4,76.4,1.569,PSG Talon
Renyu,bot,EL,3,42,0.905,87.3,72.4,73.5,74.8,77.2,78.0,63.6,77.2,1.578,Saprissa Esports
Canyon,jng,LCK,1,117,0.607,83.8,68.3,84.4,72.6,82.9,78.0,63.0,77.6,1.581,Dplus Kia
Inspired,jng,LCS,1,123,0.61,78.6,73.8,78.8,77.3,85.3,78.0,62.8,77.7,1.568,Evil Geniuses
Rabble,jng,UL,2,78,0.705,94.3,65.5,76.9,67.2,80.4,78.0,61.0,78.9,1.582,AGO ROGUE
Own3r,jng,LPLOL,3,75,0.693,80.4,76.2,76.4,71.9,85.6,77.9,65.3,75.4,1.563,For The Win Esports
Targamas,sup,LEC,1,89,0.629,81.6,82.4,74.6,71.3,71.8,77.9,63.6,76.9,1.554,G2 Esports
Hobbler,bot,GL,3,31,0.935,87.6,82.6,66.2,67.4,72.8,77.9,63.1,77.3,1.552,Zeu5 Bogota
ShowMaker,mid,LCK,1,117,0.607,73.1,80.9,81.7,71.3,87.4,77.9,62.6,77.6,1.551,Dplus Kia
Bugi,jng,LLA,15,26,0.731,88.2,75.4,78.7,73.4,61.6,77.8,68.1,71.3,1.546,Estral Esports
Tally,mid,LCO,15,64,0.797,82.8,68.8,87.5,67.2,86.0,77.8,58.8,79.6,1.544,Chiefs Esports Club
Insanity,mid,LCSA,2,82,0.671,90.4,73.4,64.8,72.8,78.0,77.6,61.1,78.2,1.498,100 Thieves Next|Dignitas Academy
Solokill,top,LDL,2,110,0.709,71.6,77.5,80.5,72.5,96.0,77.6,56.6,80.2,1.505,EDG Youth Team
Photon,top,LCKC,2,91,0.637,79.1,84.8,61.6,74.1,83.6,77.5,66.5,72.7,1.491,T1 Esports Academy
Calmsky,sup,LPLOL,3,75,0.693,88.9,68.3,70.5,70.9,86.7,77.5,64.3,75.4,1.487,For The Win Esports
Santorin,jng,LCS,1,81,0.642,70.8,80.7,81.0,83.0,75.3,77.5,63.1,76.6,1.492,Team Liquid
Jaeger,top,PRM,3,81,0.679,87.7,69.9,73.6,67.0,87.7,77.5,61.5,77.8,1.486,FC Schalke 04 Esports|X7 Esports
Kerfa,top,VL,3,46,0.848,91.3,68.6,81.5,58.6,82.6,77.5,60.9,78.2,1.486,Descuydado Aucas Esports
Zerkxz,mid,DDH,3,66,0.652,80.6,76.3,76.5,69.6,83.9,77.4,65.2,74.2,1.48,Atheris Esports
Zoelys,sup,LFL2,2,62,0.71,82.3,73.7,77.9,73.6,77.2,77.4,64.3,75.3,1.481,IziDream
HolyPhoenix,bot,TCL,15,63,0.667,74.7,71.2,87.0,79.6,81.1,77.3,65.2,73.9,1.461,İstanbul Wildcats
DizL,bot,LFL2,2,64,0.719,85.0,69.8,77.1,76.1,76.2,77.3,63.7,75.7,1.466,IziDream
Lucker,bot,UL,2,77,0.714,79.9,63.8,93.4,75.6,80.7,77.3,59.3,78.9,1.454,AGO ROGUE
Brance,bot,CBLOL,15,65,0.646,78.8,75.3,77.7,75.9,78.0,77.2,64.6,74.3,1.438,LOUD|LOUD Academy
Mission,mid,PCS,15,75,0.68,88.5,67.0,78.2,70.6,78.9,77.2,63.4,75.8,1.451,CTBC Flying Oyster
Forest,jng,LCKC,2,91,0.637,81.1,81.1,66.8,68.8,83.0,77.1,65.7,72.7,1.43,T1 Esports Academy
Qing,mid,LDL,2,96,0.635,67.3,85.9,76.8,74.8,86.2,77.1,62.3,76.6,1.426,FunPlus Phoenix Blaze
Armao,jng,LCSA,2,113,0.699,75.8,66.6,82.3,78.2,94.9,77.1,56.4,79.9,1.43,Team Liquid Academy
Demy,bot,DDH,3,66,0.652,78.6,72.7,82.0,71.5,82.9,77.0,64.4,74.2,1.419,Atheris Esports
Larssen,mid,LEC,1,73,0.603,87.7,66.5,80.5,74.2,71.3,76.9,64.9,73.1,1.395,Rogue
Xiaguang,bot,LDL,2,110,0.673,73.7,84.9,70.3,66.9,89.4,76.9,60.0,78.1,1.405,MAX
tinowns,mid,CBLOL,15,61,0.607,74.4,81.2,77.2,75.7,74.4,76.8,67.8,68.0,1.386,LOUD
Shadow,sup,LMF,2,62,0.661,70.0,81.7,79.1,76.5,80.0,76.8,62.0,76.4,1.39,5 Ronin Academy|Estral Esports|Leviatan
Yagao,mid,LPL,1,135,0.674,60.3,86.2,73.2,82.6,94.5,76.8,52.8,80.7,1.393,Bilibili Gaming|JD Gaming
TakeSet,bot,PRM,3,72,0.597,81.4,80.9,67.2,66.0,82.5,76.7,67.7,67.9,1.373,FC Schalke 04 Esports
Invincible,top,LDL,2,82,0.646,78.0,84.2,71.6,65.3,78.4,76.6,61.8,76.2,1.36,V5 87|Victory Five
Scout,mid,LPL,1,119,0.605,77.3,74.0,77.9,73.9,82.5,76.6,60.6,77.2,1.359,EDward Gaming
deokdam,bot,LCK,1,117,0.607,77.3,66.8,86.0,76.0,84.1,76.6,60.1,77.6,1.362,Dplus Kia
Qats,mid,CBLOLA,3,40,0.85,75.5,75.7,76.2,77.0,80.9,76.6,59.8,77.9,1.362,paiN Gaming Academy
Pancake,jng,LMF,2,33,0.879,70.8,90.2,75.8,76.1,63.8,76.6,59.6,78.0,1.358,Leviatan
Clear,top,LCKC,2,86,0.628,77.8,80.7,66.1,76.0,78.3,76.5,63.2,74.6,1.35,Kiwoom DRX|Kiwoom DRX Challengers
Busio,sup,LCSA,2,103,0.583,85.6,65.8,78.1,69.1,84.3,76.5,63.2,74.5,1.344,100 Thieves Academy
Serin,mid,TCL,15,63,0.667,84.8,68.2,81.0,71.2,74.4,76.4,63.5,73.9,1.333,İstanbul Wildcats
Rest,top,PCS,15,75,0.68,82.6,68.8,79.7,69.4,82.6,76.4,61.9,75.8,1.337,CTBC Flying Oyster
Ichiwin,sup,GL,3,32,0.938,93.1,66.1,71.3,68.8,74.2,76.4,60.6,77.0,1.334,Zeu5 Bogota
Kepler,bot,LDL,2,84,0.643,69.7,88.7,76.9,63.9,82.7,76.4,60.5,77.0,1.328,ThunderTalk Gaming|V5 87
Rich,top,LPL,1,96,0.667,76.7,79.5,76.7,65.2,84.0,76.4,57.4,79.0,1.331,Victory Five
BrokenBlade,top,LEC,1,89,0.629,73.3,74.4,84.1,78.5,74.4,76.3,60.5,76.9,1.319,G2 Esports
Kerberos,top,NLC,2,84,0.714,75.0,76.3,79.4,68.8,85.9,76.3,58.5,78.4,1.326,Dusty|Macko Esports
ACD,top,PGN,3,27,0.667,85.0,75.8,79.3,69.6,59.5,76.2,68.5,64.2,1.304,Macko Esports
Honey,bot,LJL,15,38,0.658,79.2,82.2,75.3,70.9,64.3,76.2,65.7,70.0,1.307,QT DIG∞
Fleshy,sup,TCL,15,45,0.711,82.7,89.3,61.4,62.0,70.3,76.2,63.8,73.0,1.306,NASR eSports Turkey|NASR eSports Turkey Academy
Jett,mid,LJL,15,66,0.667,87.6,69.5,65.9,73.0,79.8,76.2,60.2,77.0,1.307,QT DIG∞
Davo,sup,VL,3,47,0.851,87.9,75.8,69.5,59.0,79.8,76.2,58.3,78.4,1.311,Descuydado Aucas Esports
zamulek,bot,LVP SL,2,62,0.661,80.7,75.4,77.8,67.7,74.8,76.1,65.2,70.6,1.293,JD|XL|UCAM Esports
bluerzor,jng,LVP SL,2,79,0.62,74.5,83.7,65.7,76.5,77.1,76.1,64.5,71.8,1.296,Team Heretics
Rahab,top,LHE,2,56,0.661,82.8,78.3,71.7,69.0,69.6,76.1,64.4,71.8,1.291,Furious Gaming|Maycam Evolve
Bolulu,mid,TCL,15,45,0.689,88.6,67.6,75.0,66.6,77.3,76.1,62.6,74.4,1.293,NASR eSports Turkey
Bjergsen,mid,LCS,1,85,0.624,75.5,70.8,79.9,80.0,78.8,76.1,62.3,74.7,1.292,Team Liquid|Team Liquid Academy
Shunn,bot,PCS,15,54,0.685,78.1,79.1,77.7,69.4,70.5,76.0,62.2,74.8,1.288,CTBC Flying Oyster
Smash,bot,LAS,3,56,0.679,81.8,70.8,77.5,69.5,79.4,76.0,61.1,75.9,1.282,T1 Esports Academy Rookies
Lurox,jng,PRM,3,89,0.685,70.0,73.4,80.7,73.0,94.4,76.0,57.0,78.9,1.279,Unicorns of Love Sexy Edition
Jiejie,jng,LPL,1,102,0.578,73.2,78.0,80.4,74.6,73.7,75.9,64.6,71.0,1.267,EDward Gaming
Haru,jng,NLC,2,55,0.618,84.0,75.6,73.6,72.0,64.2,75.9,64.4,71.4,1.269,Team Vitality|X7 Esports
NOMA,mid,LPLOL,3,73,0.685,73.9,74.6,75.6,75.0,85.2,75.9,62.4,74.2,1.269,For The Win Esports
Buggax,top,LMF,2,55,0.636,93.5,66.6,65.6,64.2,81.3,75.9,61.4,75.5,1.277,KRÜ Esports|Leviatan
Chasy,top,NLC,2,43,0.651,81.4,82.0,62.8,75.5,66.3,75.8,65.5,69.2,1.257,X7 Esports
Upset,bot,LEC,1,76,0.579,81.6,73.1,76.6,74.5,68.2,75.8,64.7,70.8,1.265,Fnatic
adi1,jng,UL,2,44,0.682,87.7,72.4,74.3,69.2,64.6,75.8,62.9,73.5,1.263,Illuminar Gaming
xiaocaobao,mid,LDL,2,93,0.634,72.6,90.8,68.1,59.6,82.9,75.8,59.4,77.1,1.259,Ultra Prime Academy|Young Miracles
Hanabi,top,PCS,15,85,0.659,73.2,83.0,67.0,72.1,83.6,75.8,59.3,77.2,1.255,PSG Talon
Rhuckz,sup,LVP SL,2,61,0.656,75.3,79.4,75.1,77.2,67.5,75.7,62.6,73.7,1.253,Fnatic|Fnatic TQ
Acerola,jng,EL,3,41,0.829,85.3,71.0,72.0,70.5,73.3,75.7,60.7,75.8,1.247,Aurelius Esports|Descuydado Aucas Esports
Danny,bot,LCS,1,102,0.627,83.4,67.1,78.5,71.9,76.2,75.7,59.3,77.1,1.251,Evil Geniuses
Bin,top,LPL,1,140,0.621,85.9,62.9,83.1,61.5,87.2,75.7,58.2,78.0,1.254,Bilibili Gaming|Royal Never Give Up
Darshan,top,LCSA,2,93,0.624,84.5,62.7,73.6,74.2,86.8,75.7,57.7,78.2,1.248,Cloud9|Cloud9 Academy
Dream,mid,LDL,2,94,0.67,67.5,79.6,77.8,74.1,87.1,75.7,55.8,79.3,1.251,V5 87|Victory Five
Hans Sama,bot,LCS,1,79,0.646,86.2,65.0,75.6,74.1,74.1,75.6,59.6,76.7,1.236,Team Liquid
Hope,bot,LPL,1,120,0.683,64.1,77.6,79.3,80.2,88.7,75.6,52.9,80.2,1.237,JD Gaming|Team WE
Trigger,bot,LCKC,2,91,0.637,70.2,85.4,61.7,76.7,83.8,75.5,63.0,72.7,1.226,T1 Esports Academy
donbray,sup,PGC,2,45,0.733,83.7,72.2,80.1,66.6,67.9,75.5,61.3,74.9,1.225,100 Thieves Next|Evil Geniuses Prodigies
Heroic,mid,LPLOL,3,68,0.647,84.7,67.3,71.0,70.6,82.0,75.4,64.5,69.9,1.213,EGN Esports
Oscarinin,top,LVP SL,2,59,0.644,87.6,73.4,71.4,68.5,64.0,75.4,63.7,71.5,1.221,Fnatic TQ
Trymbi,sup,LEC,1,73,0.603,81.3,75.4,75.6,73.4,62.6,75.4,62.6,73.1,1.221,Rogue
Aladoric,sup,LCO,15,33,0.818,87.6,72.3,71.2,73.5,59.6,75.4,61.6,74.4,1.219,Chiefs Esports Club
DuaLL,sup,NLC,2,86,0.651,87.5,67.3,67.8,69.4,80.9,75.4,60.7,75.4,1.216,Bifrost|UCAM Esports
Kasing,sup,NLC,2,79,0.671,61.2,81.1,79.9,80.3,86.0,75.4,56.8,78.6,1.22,X7 Esports
Nite,mid,UL,2,76,0.724,82.9,67.3,77.8,69.6,78.6,75.4,54.9,79.4,1.216,AGO ROGUE
ISMA,jng,PRM,3,55,0.618,79.7,69.9,68.4,78.2,81.7,75.3,63.3,71.7,1.203,FC Schalke 04 Esports
Erdote,sup,LFL,2,92,0.554,67.6,80.6,74.3,76.2,82.0,75.2,63.7,70.9,1.192,Team BDS|Team BDS Academy
Vulcan,sup,LCS,1,123,0.61,69.1,72.7,78.2,78.8,87.5,75.2,57.9,77.7,1.198,Evil Geniuses
Prince,bot,LCK,1,58,0.586,84.2,80.6,58.4,72.7,66.2,75.1,65.4,67.5,1.183,Liiv SANDBOX
Once,jng,LJL,15,66,0.667,66.9,80.8,73.2,76.2,84.2,75.1,58.5,77.0,1.178,QT DIG∞
Rise,bot,LDL,2,86,0.663,72.2,81.4,76.9,64.3,80.4,75.1,57.2,78.0,1.187,Bilibili Gaming|Bilibili Gaming Junior
Chordy,mid,LMF,2,57,0.702,71.4,70.0,83.4,79.3,78.1,75.0,57.6,77.7,1.176,Boca Juniors Gaming
Fanatiik,jng,PGC,2,77,0.766,74.3,68.9,78.2,74.5,86.2,75.0,54.1,79.5,1.173,100 Thieves Next
pan,top,DDH,3,35,0.6,82.4,74.5,76.5,62.9,70.8,74.9,68.3,60.2,1.165,Isurus|The Kings
Attila,bot,NLC,2,61,0.59,81.0,77.8,65.9,69.2,72.9,74.9,66.6,64.2,1.162,Giants|X7 Esports
Thanatos,top,LCKC,2,94,0.585,66.7,82.7,82.1,68.7,76.9,74.9,63.6,70.3,1.158,Dplus Kia Challengers
Nobody,mid,LMF,2,37,0.676,84.2,78.4,66.1,68.4,64.6,74.9,63.2,71.1,1.164,EBRO|inf
Impact,top,LCS,1,123,0.61,77.1,66.7,76.0,75.7,84.7,74.9,57.4,77.7,1.16,Evil Geniuses
Tian,jng,LPL,1,117,0.65,64.8,75.4,86.1,73.2,86.9,74.9,53.7,79.6,1.158,Top Esports
Ssumday,top,LCS,1,75,0.573,66.4,83.1,79.1,76.4,69.6,74.8,63.2,70.8,1.154,100 Thieves
Stend,sup,NLC,2,75,0.68,71.2,77.0,73.0,74.2,82.6,74.8,61.2,73.8,1.15,Dusty|Giants
Seeker,top,LMF,2,57,0.684,69.0,86.8,68.4,74.7,71.8,74.8,59.0,76.3,1.156,Boca Juniors Gaming|KRÜ Esports
Izaenk,top,LMF,2,57,0.772,78.2,68.5,85.1,65.0,79.3,74.8,55.5,78.8,1.154,Pampas
TolanD,mid,LCKC,2,90,0.644,73.7,75.0,74.8,71.3,81.0,74.7,61.1,73.7,1.14,T1 Esports Academy
Noah,bot,LCKC,2,83,0.566,73.0,77.2,72.8,72.8,77.7,74.6,64.8,67.2,1.129,KT Rolster Challengers
Lucid,jng,LCKC,2,94,0.585,65.4,82.8,72.4,77.3,79.2,74.6,63.2,70.3,1.128,Dplus Kia Challengers
IgnaVilu,sup,LMF,2,69,0.638,66.2,89.8,66.8,73.3,75.0,74.6,60.3,74.7,1.137,Boca Juniors Gaming|KRÜ Esports|Movistar R7
Rookie,mid,LPL,1,85,0.635,73.5,78.4,72.0,72.5,75.4,74.6,60.1,74.8,1.129,Victory Five
Brayaron,top,LHE,2,30,0.833,86.7,62.0,77.0,73.3,70.0,74.6,60.1,74.9,1.137,Furious Gaming|inf
Stefan,jng,NLC,2,38,0.632,80.3,75.3,77.5,70.9,59.3,74.5,67.1,61.8,1.12,Riddle Esports
Scenari0,bot,SL (LATAM),3,49,0.714,82.3,72.7,69.0,66.8,76.1,74.5,61.9,72.3,1.123,Incubus
Noltey,jng,LFL2,2,64,0.719,69.3,75.3,83.5,70.5,79.1,74.5,59.1,75.7,1.118,IziDream
